Scheme_Code	Scheme_Name	NAV	Date
119551	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.5131	22-Sep-2025
119552	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.3515	22-Sep-2025
119553	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104.0921	22-Sep-2025
108272	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	152.3084	22-Sep-2025
110282	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.0528	22-Sep-2025
108274	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	101.9799	22-Sep-2025
110490	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.2438	22-Sep-2025
106157	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.1183	22-Sep-2025
108273	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	370.816	22-Sep-2025
103176	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	556.6452	22-Sep-2025
119550	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	385.1584	22-Sep-2025
128952	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272	14-Jun-2017
120437	Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310	22-Sep-2025
120438	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2754.7622	22-Sep-2025
120439	Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1037.2851	22-Sep-2025
120436	Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.2027	22-Sep-2025
128953	Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075	18-May-2015
117447	Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303	22-Sep-2025
117446	Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2669.7375	22-Sep-2025
117449	Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1037.0532	22-Sep-2025
117448	Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.2003	22-Sep-2025
152164	Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9848	22-Sep-2025
152163	Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6583	22-Sep-2025
152165	Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.5395	22-Sep-2025
152166	Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.5395	22-Sep-2025
152162	Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6583	22-Sep-2025
152167	Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9140	22-Sep-2025
121936	Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4947	22-Sep-2025
127471	Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768	22-Sep-2025
121934	Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4803	22-Sep-2025
121279	Bandhan Banking and PSU Fund - Direct Growth	25.6793	22-Sep-2025
121281	Bandhan Banking and PSU Fund - Direct IDCW	13.5080	22-Sep-2025
121935	Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4755	22-Sep-2025
121938	Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0115	22-Sep-2025
121933	Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4867	22-Sep-2025
127470	Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8788	22-Sep-2025
121931	Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6349	22-Sep-2025
121280	Bandhan Banking and PSU Fund - Regular Growth	24.9347	22-Sep-2025
121282	Bandhan Banking and PSU Fund - Regular IDCW	13.4646	22-Sep-2025
121932	Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7186	22-Sep-2025
121937	Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9052	22-Sep-2025
148629	Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4652	22-Sep-2025
148628	Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0891	22-Sep-2025
148630	Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.6213	22-Sep-2025
148625	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7926	22-Sep-2025
148626	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2884	22-Sep-2025
148627	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3965	22-Sep-2025
150505	Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.3097	22-Sep-2025
150507	Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.8450	22-Sep-2025
150503	Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.1958	22-Sep-2025
150504	Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7588	22-Sep-2025
124175	DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.1821	22-Sep-2025
124178	DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.6197	22-Sep-2025
124182	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1848	22-Sep-2025
124176	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.4031	22-Sep-2025
124177	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4586	22-Sep-2025
124183	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1885	22-Sep-2025
124172	DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.3052	22-Sep-2025
124174	DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.6043	22-Sep-2025
124173	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1812	22-Sep-2025
124180	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3884	22-Sep-2025
124181	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4466	22-Sep-2025
124179	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1882	22-Sep-2025
140286	Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.8637	22-Sep-2025
140288	Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7999	22-Sep-2025
